PLAYER,YEAR,POS,HEIGHT,HEIGHT_W_SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL,MAX_VERTICAL,BENCH_PRESS,BODY_FAT,HAND L,HAND W
Kevin Huerter,2018,WING,78.25,79.25,101.5,194,79.5,1.25,2.96,3.09,31,38,,8.60%,8.25,8.5
Kevin Jones,2012,BIG,78.25,79.5,105,251.2,85.5,7.25,,3.6,27.5,32.5,17,11.20%,9,7.75
Kevin Knox,2018,WING,79.25,81,108,212.6,83.75,4.5,,,,,,5.00%,8.75,9.25
Kevin Love,2008,BIG,79.75,81.5,106,255,83.25,3.5,,3.22,29.5,35,18,12.90%,,
Kevin Lyde,2002,BIG,80.75,,109.5,278,86,5.25,,3.36,27.5,30.5,13,,,
Kevin Murphy,2012,WING,77,78.25,99,194,78.75,1.75,,3.42,31,36.5,11,5.80%,8.5,8.5
Kevin Pittsnogle,2005,BIG,81.25,82.25,106,259.2,82.5,1.25,,,,,,,,
Kevin Porter Jr.,2019,WING,76,77.5,103,212.6,81,5,3.03,3.14,27,34,2,5.10%,8.75,8.75
Kevon Looney,2015,BIG,80,81.25,110,222.4,87.5,7.5,,,,,,11.90%,9.5,9.25
Keydren Clark,2006,PG,69,70.25,92.5,184,74.5,5.5,,3.11,31,34,13,11.60%,,
Khalid El-Amin,2000,PG,69,,93,200,73.5,4.5,,3.32,27.5,32,6,,,
Khem Birch,2014,BIG,79.5,81.25,107,208.8,85,5.5,3.24,3.26,30.5,35.5,,6.00%,9,8.5
Khris Middleton,2012,WING,78.75,80.25,103,216.2,82.75,4,,3.47,28,31,4,7.80%,9,9
Khyri Thomas,2018,WING,74.5,75.75,101,198.8,82.5,8,3.18,3.18,30,35,,6.40%,8.75,9.25
Kim English,2012,WING,76.5,77.75,98,192,78.5,2,,3.33,29,36.5,,4.30%,8.5,8.75
Kimani Ffriend,2001,BIG,81.5,,108.5,228,82.75,1.25,,3.09,32,33,9,11.70%,,
Kirk Haston,2001,COMBO F,80,,106,242,84.25,4.25,,3.35,27,31.5,11,10.50%,,
Kirk Hinrich,2003,COMBO G,74.75,,98.5,186,78,3.25,,3.1,29,33.5,10,5.30%,,
Kirk Penney,2003,WING,77,,97,218,77.25,0.25,,3.04,32,35.5,15,8.00%,,
Kirk Snyder,2004,WING,78,78.75,104,228,81,3,,3.13,30,35,19,9.30%,,
Klay Thompson,2011,WING,77.75,79.25,103.5,205.6,81,3.25,,3.24,26.5,31.5,5,8.00%,8.75,9.25
Kobi Simmons,2017,PG,75.25,76.5,99,166.2,78,2.75,2.98,3.18,30.5,38.5,,5.00%,8.5,9.5
Kostas Antetokounmpo,2018,BIG,81,82.5,110,194.8,86.25,5.25,3.47,3.21,29.5,35,,5.00%,9.25,9.5
Kris Dunn,2016,PG,75,76.25,100,,81.5,6.5,,,,,,,,
Kris Humphries,2004,BIG,80.25,81.5,106.5,238,84.5,4.25,,3.2,29.5,36,22,6.70%,,
Kris Joseph,2012,WING,78,79,104,215,83,5,,3.46,28.5,35,6,8.60%,9,9
Kris Lang,2002,BIG,81.25,,109,242,83.75,2.5,,3.24,28,29,19,,,
Kris Wilkes,2019,WING,78.25,79.75,103,208.8,82.75,4.5,3.09,3.34,27.5,35,4,4.90%,8.5,9.5
Kris Wilkes 18,2018,WING,78.5,79.5,103.5,205,82.25,3.75,3.16,3.26,28,35.5,,5.20%,8.75,9.25
Kwame Brown,2001,BIG,82,,108,243,85,3,,3.45,30,33,17,8.90%,,
Ky Bowman,2019,PG,73,75.25,98,181.2,79,6,3.11,3.26,27.5,33,4,4.90%,8.25,9
Kyle Anderson,2014,WING,79.5,80.5,107.5,230.1,86.75,7.25,,,,,,13.40%,8.25,8.75
Kyle Guy,2019,COMBO G,72.75,74.25,95.5,167.8,76.5,3.75,3.07,3.27,30.5,36.5,4,5.70%,8,8.75
Kyle Hines,2008,COMBO F,75.75,77.25,104.5,234,85.25,9.5,,3.4,28.5,33,16,3.60%,,
Kyle Korver,2003,WING,78.25,,102.5,211,81.5,3.25,,3.47,25.5,31.5,13,6.70%,,
Kyle Kuzma,2017,WING,80,81.5,107.5,222.6,84.25,4.25,2.98,3.25,27,34,,9.40%,8.5,9.5
Kyle O'Quinn,2012,BIG,80.5,82,106.5,240.8,88.75,8.25,,3.53,31.5,31.5,,8.00%,9.5,10
Kyle Singler,2011,WING,79.5,80.5,106,228,82,2.5,,3.21,23,30,10,10.00%,8.25,8.75
Kyle Visser,2007,BIG,82,83.5,108,242,83,1,,3.39,26,29,18,10.20%,,
Kyle Wiltjer,2016,BIG,80.75,82,102.5,242.8,84.25,3.5,3.04,3.48,28.5,35.5,,15.30%,8.25,9.5
Kyrie Irving,2011,PG,73.75,75.5,99,191,76,2.25,,,,,,10.20%,8.25,9.25
KZ Okpala,2019,WING,79.25,81.5,106.5,209.6,85.75,6.5,3.13,3.38,30.5,37,9,4.60%,9.25,9.25
LaceDarius Dunn,2011,WING,75,76,101,187.8,78.25,3.25,,3.27,26.5,31,3,5.50%,9,10.25
Lamar Patterson,2014,WING,76,77.25,101,226,83,7,3.13,3.45,27.5,32.5,,10.80%,9,9.25
LaMarcus Aldridge,2006,BIG,82,83.25,110,234,88.75,6.75,,3.43,26.5,34,8,8.70%,,
Lamont Barnes,2000,BIG,80.5,,108,235.5,87.5,7,,3.4,28,29.5,10,,,
Lance Stephenson,2010,WING,76.5,77.75,103,227,82.5,6,,3.38,27,33,10,9.30%,9,10.25
Landry Shamet,2018,PG,76,77.25,100,188.6,78.75,2.75,3.21,3.11,31,39.5,,4.90%,8,9
LaQuinton Ross,2014,WING,78.5,79.5,106,238.7,85.75,7.25,3.52,3.44,25,31,,16.30%,8.75,9.75
Larry Nance,2015,BIG,79.5,80.5,108,226.6,85.5,6,3.01,3.25,29,37.5,10,6.40%,9,9.75
Larry O'Bannon,2005,WING,75,76.25,99.5,196,78,3,,3.18,31.5,36.5,17,,,
Larry Sanders,2010,BIG,81.25,82.5,112,222.4,89.75,8.5,,3.27,25.5,28,7,4.60%,9.75,11
LaVell Blanchard,2003,WING,78,,101.5,205,78,0,,3.38,33.5,36.5,12,11.70%,,
Lavor Postell,2000,WING,76.5,,101.5,205,80.5,4,,3.3,33.5,36.5,17,,,
Lawrence Roberts,2004,BIG,79.5,81,106.5,233,81.5,2,,3.3,27.5,33,18,9.30%,,
Lazar Hayward,2010,WING,76.5,77.75,102,225.8,84.75,8.25,,3.31,31,36,15,7.50%,9.25,9.5
Lazaros Papadopoulos,2001,BIG,82.25,,110.5,227,86.5,4.25,,3.7,23,26,4,11.70%,,
LeBron James,2003,WING,79.25,,106.3,245,84.25,5,,,,,,6.70%,,
Lee Benson,2002,COMBO F,80.25,,109,217,85.75,5.5,,3.29,27.5,32.5,14,,,
Lee Scruggs,2001,COMBO F,82.25,,110.5,209,89.75,7.5,,3.55,23.5,29.5,0,10.50%,,
Lenny Cooke,2002,WING,77.5,,107,214,85,7.5,,,,,0,,,
Lester Hudson,2008,PG,71.75,73,98.5,196,80.75,9,,3.16,30.5,36,12,3.40%,,
Longar Longar,2008,BIG,81,82,109.5,212.5,85.25,4.25,,,,,14,10.60%,,
Lonnie Jones,2002,BIG,82.25,,112,230,86.25,4,,3.33,30.5,31.5,15,,,
Lonnie Walker,2018,WING,75.75,76.5,99.5,196.2,82.25,6.5,2.87,3.06,31.5,40,,5.70%,9,9.5
Lonny Baxter,2002,BIG,78.25,,107.5,264,85.5,7.25,,3.21,28,32.5,14,,,
Loren Woods,2001,BIG,84.75,,113,246,89.5,4.75,,3.48,24.5,28,10,9.30%,,
Lorenzo Brown,2013,PG,76,77.25,100,189.2,79,3,3.24,3.4,28,34,8,4.00%,8.25,8.5
Lou Amundson,2006,BIG,79.25,80,103.5,221,83.5,4.25,,3.2,32,35.5,14,6.80%,,
Louis King,2019,WING,78.75,80,104.5,195.2,84.25,5.5,3.05,3.28,29,33,0,4.80%,8,8.5
Lubos Barton,2002,WING,78.5,,107,221,84,5.5,,3.31,25.5,31.5,14,,,
Luc Mbah a Moute,2008,WING,77.75,79.5,103.5,221,86.5,8.75,,3.17,32,38.5,11,7.00%,,
Luguentz Dort,2019,COMBO G,74.75,76.25,99.5,222.2,80.5,5.75,3.13,3.22,32.5,38,14,5.00%,8.5,9
Luis Flores,2004,COMBO G,72.5,73.75,98.5,202,79.5,7,,3.1,29,32,15,6.00%,,
Luka Samanic,2019,BIG,81.5,83,107,227.2,82.5,1,3.03,3.27,27,38,7,5.60%,8.5,9
Luke Babbitt,2010,COMBO F,79.5,80.75,104.5,217.8,83.25,3.75,,3.4,29.5,37.5,15,5.60%,8.5,10
Luke Harangody,2010,BIG,78,79.75,106,240.2,81.5,3.5,,3.41,24,28.5,23,11.10%,8.75,9.75
Luke Jackson,2004,WING,78,79,103,212,80.5,2.5,,3.24,26.5,36,13,8.00%,,
Luke Kennard,2017,WING,76.5,77.5,98.5,196.2,77.25,0.75,,,,,,6.60%,8,8.75
Luke Recker,2002,WING,76.75,,101,198,79,2.25,,3.27,25.5,31,13,,,
Luke Ridnour,2003,PG,73,,95.5,167,75,2,,3.28,26,32.5,0,5.30%,,
Luke Schenscher,2005,BIG,83.75,85.5,111.5,241.6,89,5.25,,3.47,23.5,26.5,1,,,
Luke Walton,2003,COMBO F,79.75,,104,235,80.5,0.75,,,28,,12,9.30%,,
Luol Deng,2004,WING,79,80,108.5,220,84.5,5.5,,3.34,27.5,31.5,5,6.70%,,
Luther Head,2005,COMBO G,74,75,98.5,178.8,77.25,3.25,,3.21,31.5,38.5,14,,,
Lynn Greer,2002,PG,72.25,,94.5,170,73,0.75,,3.16,29.5,36.5,12,,,
Maarty Leunen,2008,WING,79.25,80.5,102.5,222,80,0.75,,3.36,29.5,34.5,14,8.90%,,
Major Wingate,2007,BIG,80.5,82.75,109,242,88,7.5,,3.47,27.5,30.5,15,6.70%,,
Malachi Richardson,2016,WING,76.75,78.25,101.5,199.6,84,7.25,3.25,3.33,33,38,,7.00%,8.75,10
Malcolm Brogdon,2016,WING,75.75,77.5,98,223,82.5,6.75,2.64,3.31,30.5,35.5,,5.40%,9,10.25
Malcolm Lee,2011,WING,76,77.5,101.5,198.2,81.75,5.75,,3.09,30,35.5,17,5.90%,8.5,9.5
Malcolm Thomas,2011,BIG,79.5,80.75,107.5,223,84.5,5,,3.29,32,36.5,3,5.90%,9.5,10.5
Malik Allen,2000,BIG,80.25,,109,271,86.5,6.25,,3.38,25.5,29,13,,,
Malik Beasley,2016,WING,75.5,76.5,100.5,189.8,79,3.5,,,,,,6.90%,8.5,9
Malik Hairston,2008,WING,76.25,77.25,103.5,204,81,4.75,,3.08,30.5,38,13,6.90%,,
Malik Newman,2018,WING,74.5,75.25,98.5,189.2,77.5,3,3.17,3.13,27.5,33.5,,6.30%,8.5,9.5
Manny Harris,2010,WING,76,77.5,102,185.1,79.25,3.25,,,,,11,3.80%,8.5,9
Marcelus Kemp,2008,WING,75,76.25,103.5,221,80.5,5.5,,3.39,26,30,9,9.00%,,
Marcin Gortat,2005,BIG,83,84,110,225.2,87.5,4.5,,3.33,29.5,36,18,,,
Marco Killingsworth,2006,BIG,77.5,78.75,104,266,87,9.5,,3.34,28,32,13,19.00%,,
Marcus Buckets Thornton,2009,WING,74.75,75.75,99,194.4,77,2.25,,3.28,31,33,14,4.80%,,
Marcus Campbell,2005,BIG,82.25,84.25,114,280.4,90,7.75,,,,,9,,,
Marcus Denmon,2012,WING,74.25,75.25,94.5,188.2,77,2.75,,3.19,33.5,40,8,6.60%,8.25,9.75
Marcus Douthit,2004,BIG,81.5,83,111.5,223,88,6.5,,3.34,25.5,31.5,1,13.70%,,
Marcus Dove,2008,COMBO F,78.75,79.5,105,208,83.5,4.75,,3.26,27.5,33.5,10,5.30%,,
Marcus Goree,2000,COMBO F,79.5,,105.5,239,84.5,5,,3.25,29.5,33.5,13,,,
Marcus Haislip,2002,BIG,80.5,,107,221,84,3.5,,3.21,33.5,36.5,8,,,
Marcus Hatten,2003,PG,72.75,,98,163,78.25,5.5,,3.15,29.5,37.5,7,4.00%,,
Marcus Lee,2016,BIG,81,82.25,107.5,211,87,6,3.19,3.25,28.5,35.5,,5.40%,9,9
Marcus Melvin,2004,COMBO F,78.75,80.5,105.5,241,84,5.25,,3.33,25,30.5,11,10.50%,,
Marcus Moore,2004,COMBO G,76,77.25,101.5,202,81,5,,3.34,25,30,,14.80%,,
Marcus Morris,2011,COMBO F,79,80.75,105.5,229.6,82,3,,3.15,29,33,11,8.00%,8.25,8.5
Marcus Paige,2016,PG,72.5,73.75,97,163.8,78.25,5.75,2.69,3.15,33.5,39.5,,4.30%,7.75,8.75
Marcus Slaughter,2006,COMBO F,79,80,104.5,220,83.5,4.5,,3.4,30,34,9,8.50%,,
Marcus Smart,2014,PG,74,75.25,99,227.2,81.25,7.25,2.96,3.26,33,36,,10.60%,9,8.75
Marcus Taylor,2002,PG,73,,98.5,181,76.5,3.5,,3.31,27.5,33.5,4,,,
Marcus Thornton,2015,COMBO G,73.75,74.75,97.5,177.4,79.75,6,2.88,3.02,34.5,43,3,5.30%,8.25,8.5
Marcus Williams,2006,PG,74,75.25,97.5,215,79,5,,3.4,24.5,28,4,12.40%,,
Mardy Collins,2006,COMBO G,76.25,77.5,103,224,82,5.75,,3.27,31.5,37.5,9,10.00%,,
Marial Shayok,2019,WING,76.5,77.5,103.5,196.8,84.25,7.75,3.04,3.37,29.5,36.5,9,4.70%,8.75,9.25
Mario Bland,2000,BIG,77.5,,103,287,84,6.5,,3.47,27,31,15,,,
Mario Boggan,2007,BIG,77,79,107,240,86,9,,3.45,24,26.5,12,9.20%,,
Mario Kasun,2002,BIG,83.75,,109,260,83.5,-0.25,,,,,12,,,
Mark Karcher,2000,WING,76,,102.5,218,80,4,,3.4,27.5,30.5,12,,,
Mark Madsen,2000,BIG,80,,104.5,236.5,84.5,4.5,,3.46,30.5,33.5,13,,,
Mark Tyndale,2008,WING,74.75,75.5,103.5,217,83,8.25,,3.14,27,33.5,5,6.70%,,
Markel Brown,2014,WING,74.5,75.5,100,184.4,80.75,6.25,2.9,3.18,36.5,43.5,,4.20%,8.25,9.75
Markelle Fultz,2017,PG,,,,,,0,,,,,,,,
Markieff Morris,2011,BIG,79.75,81.25,106.5,240.8,82.75,3,,3.4,27,31.5,11,10.20%,8.5,8.25
Marko Jaric,2000,WING,78.5,,104,210,81,2.5,,3.28,27.5,33,,,,
Marko Lekic,2007,BIG,81,82.5,108.5,267,85,4,,3.43,24,30.5,19,11.40%,,
Marko Tomas,2004,COMBO G,78.5,79.75,103.5,198,79,0.5,,3.23,32,31.5,,9.30%,,
Marlon Parmer,2003,PG,72.75,,97,184,75.5,2.75,,3.42,28,32,13,9.30%,,
Marquese Chriss,2016,BIG,80.75,82,105,233,84.25,3.5,3.05,3.26,32.5,38.5,,8.50%,9,9
Marquis Daniels,2003,COMBO G,77.25,,103.5,198,82,4.75,,3.25,30.5,35,6,4.00%,,
Marquis Estill,2003,BIG,80.5,,108,257,88,7.5,,3.31,30,36,7,11.70%,,
Marquis Teague,2012,PG,73,74,96.5,179.8,79.25,6.25,,3.19,32.5,40.5,8,6.30%,8.25,7.75
Marshon Brooks,2011,WING,76.25,77.25,101,194.6,85,8.75,,3.09,34,38.5,5,5.20%,9,10.5
Martell Webster,2005,WING,78,79.5,106,229.6,83,5,,3.39,28,30.5,7,,,
Martin Iti,2004,BIG,80.5,81.75,111.5,233,89,8.5,,3.41,26.5,32.5,13,10.50%,,
Martin Rancik,2001,COMBO F,80.75,,102.5,230,80,-0.75,,3.19,32,37,14,8.00%,,
Martynas Andriuskevicius,2005,BIG,85.25,87,112.5,227.8,83.25,-2,,3.42,24,27.5,0,,,
Marvin Stone,2003,BIG,81.5,,109.5,261,87.5,6,,3.5,25.5,27.5,9,17.40%,,
Marvin Williams,2005,COMBO F,79,80.25,108,228.2,87.5,8.5,,3.17,29.5,35,12,,,
Mason Plumlee,2013,BIG,83.25,84.5,108,238.2,83,-0.25,2.76,3.29,30.5,36,14,6.20%,9.75,9.5
Matt Barnes,2002,WING,78.75,,96.5,226,81,2.25,,3.28,35.5,40.5,11,,,
Matt Bonner,2003,COMBO F,80.5,,105.5,242,80.75,0.25,,3.32,27,32,20,13.60%,,
Matt Carroll,2003,WING,77,,98.5,207,78.5,1.5,,3.35,29,33.5,13,6.70%,,
Matt Freije,2004,COMBO F,80.25,81.5,108.5,234,85,4.75,,3.25,29.5,31,13,10.80%,,
Matt Haryasz,2006,BIG,81.75,83,107.5,219,84.25,2.5,,3.46,27.5,31.5,10,9.80%,,
Matt Santangelo,2000,PG,72,,94,177,75,3,,3.06,33.5,43,12,,,
Matthew Nielsen,2000,BIG,81,,106,223,82.5,1.5,,3.35,26,29,3,,,
Maurice Ager,2006,COMBO G,75.25,76.5,101.5,203,79.75,4.5,,3.22,29.5,35,11,8.00%,,
Maurice Baker,2002,PG,71.75,,96,178,76,4.25,,3.29,29.5,33,2,,,
Maurice Evans,2001,WING,76.25,,101,221,80,3.75,,3.12,34.5,37.5,22,4.00%,,
Maurice Harkless,2012,WING,79.25,80.75,102.5,206.6,84,4.75,,3.25,32.5,37,5,5.30%,9.25,10.25
Melo Trimble,2017,PG,73.25,74.5,92.5,191.8,74,0.75,2.77,3.2,26.5,35.5,,8.40%,8,8.75
Melvin Ejim,2014,WING,77.25,79,103.5,218.5,83.25,6,3.12,3.14,29.5,35,,6.50%,8.75,9.25
Melvin Ely,2002,BIG,81,,111,240,88,7,,3.35,26,29,7,,,
Melvin Frazier,2018,WING,76.5,78,105,198.2,85.75,9.25,3.07,3.08,31,40.5,,7.90%,9.5,9.5
Meyers Leonard,2012,BIG,83.75,85.25,108,249.8,87,3.25,,3.41,30,32.5,19,5.70%,9.25,11
Mfiondu Kabengele,2019,BIG,80.75,82.25,109.5,256.2,87,6.25,3.3,3.25,28,35.5,6,5.10%,9.25,10.75
Michael Beasley,2008,COMBO F,79,80.25,107,239,84.25,5.25,,3.24,30,35,19,7.70%,,
Michael Bradley,2001,BIG,81.5,,107,227,85.5,4,,3.35,27,30,13,9.30%,,
Michael Carter-Williams,2013,PG,76.75,77.75,101,184.4,79.25,2.5,3.7,3.22,31.5,41,8,4.40%,7.5,8.5
Michael Dunigan,2011,BIG,80.5,82,107.5,237.6,87.25,6.75,,3.27,29.5,34.5,10,8.00%,9,10.75
Michael Frazier II,2015,WING,75.75,76.25,101.5,199.4,80,4.25,3.02,3.32,27,35,10,7.40%,8.25,9.25
Michael Gbinije,2016,WING,77.5,78.75,101,204.6,79.5,2,3.19,3.12,33.5,37.5,,5.40%,8,9
Michael Hermon,2000,COMBO G,74.75,,98.5,195,78.25,3.5,,3.25,29,33,0,,,
Michael Hicks,2001,WING,76,,100.5,197,81.25,5.25,,3.19,33,40.5,13,7.30%,,
Michael Ignerski,2003,COMBO F,81.5,,107,232,82.75,1.25,,3.13,26.5,33,10,10.50%,,
Michael Kidd-Gilchrist,2012,WING,77.75,79.5,104.5,232.8,84,6.25,,3.18,32,35.5,6,7.00%,9,10.25
Michael Porter,2018,COMBO F,81.5,82.75,108.5,211,84.25,2.75,,,,,,6.40%,8.75,9.25
Michael Qualls,2015,WING,76,77,104.5,201.4,84.25,8.25,,3.18,34,39.5,9,4.00%,9,10.25
Michael Redd,2000,WING,76.75,,102,214,81,4.25,,3.34,27,31,12,,,
Michael Southhall,2006,BIG,81.5,82.25,107.5,241,88.25,6.75,,3.51,31.5,37,2,7.90%,,
Michael Sweetney,2003,BIG,79.25,,107.5,262,85,5.75,,3.28,26,31.5,3,14.10%,,
Michael Wright,2001,BIG,79,,106.5,247,83.5,4.5,,3.21,27.5,33.5,18,9.30%,,
Michel Morandais,2004,WING,75.75,76.75,102,205,83.5,7.75,,3.22,30.5,33.5,16,8.60%,,
Mike Bell,2005,COMBO F,80.75,81.25,104.5,206.2,85.5,4.75,,3.29,33.5,39.5,13,,,
Mike Conley,2007,PG,71,72.75,94.5,175,77.75,6.75,,3.09,35.5,40.5,13,4.20%,,
Mike Dunleavy,2002,WING,80,,106,230,81,1,,3.3,24.5,29,11,,,
Mike Mardesich,2001,BIG,82.25,,108.5,247,84.5,2.25,,3.45,24,30,8,13.60%,,
Mike Muscala,2013,BIG,82.25,83.5,108,230.2,85,2.75,2.99,3.44,28,33.5,5,6.80%,8.5,9
Mike Scott,2012,BIG,79.25,80.75,104,240.8,82.75,3.5,,3.44,27,32.5,14,10.60%,8.5,9
Mike Smith,2000,WING,78.5,,103,198,80.5,2,,3.22,33,21,12,,,
Mike Taylor,2008,COMBO G,72.75,74,98,166.2,79.25,6.5,,3.08,31,39,2,3.80%,,
Mike Williams,2004,WING,77.5,78.5,105.5,197,83.5,6,,3.42,23.5,27.5,,9.30%,,
Mikhail Torrance,2010,PG,76,77,103,208.8,79.5,3.5,,3.17,23,32,8,7.00%,8.75,9.5
Miles Bridges,2018,WING,77.25,78.75,103.5,220.4,81.5,4.25,,,,,,5.90%,9,9.75
Miles Plumlee,2012,BIG,82.5,83.75,105.5,252.4,84.75,2.25,,3.36,34,40.5,15,11.40%,9.25,9
Mindaugas Katelynas,2005,COMBO F,79.5,80.5,105.5,217,83,3.5,,3.38,31.5,35,7,,,
Mire Chatman,2002,COMBO G,72,,98,174,78,6,,3.18,29,33,1,,,
Misan Nikagbatse,2004,COMBO G,75.5,76.75,102,223,82,6.5,,3.32,27.5,32.5,11,12.90%,,
Miye Oni,2019,WING,76.25,77.75,100.5,205.6,82.75,6.5,3.12,3.17,30.5,38.5,19,4.90%,9,10
Mo Williams,2003,COMBO G,72.75,,98.5,189,77.5,4.75,,,,,3,6.70%,,
Mohamed Abukar,2007,WING,80,81.75,103,210,81,1,,3.37,30.5,35,15,8.90%,,
Mohamed Bamba,2018,BIG,83.25,84.75,115.5,225.6,94,10.75,,,,,,6.20%,9.75,10.25
Monta Ellis,2005,COMBO G,74.25,75.25,98,176.6,74.75,0.5,,3.31,26.5,31.5,0,,,
Monte Morris,2017,PG,73.25,74.5,96.5,175.2,76,2.75,3.2,3.19,28,33.5,,6.90%,8.25,8.75
Montrezl Harrell,2015,BIG,79,79.5,109,253.4,88.25,9.25,,,,,,11.90%,9,9.75
Moritz Wagner,2018,BIG,82.5,83.5,108,241.4,84,1.5,3.06,3.18,27,34,,6.80%,9,10.75
Morris Almond,2006,WING,76.75,78,102.5,214,82,5.25,,3.19,31,35.5,13,6.90%,,
Moses Brown,2019,BIG,85.25,86.5,113,237.2,88.75,3.5,3.3,3.51,27,31,-,7.80%,9.5,10.25
Mouhamed Sene,2006,BIG,83,84,113,237,92.5,9.5,,3.38,28.5,31,7,6.60%,,
Mouhammadou Jaiteh,2015,BIG,81.5,82.5,110.5,246.8,87.25,5.75,3.08,3.38,24.5,31.5,7,9.90%,9,9.25
Muhammed Lasege,2002,BIG,80.75,,108.5,228,86,5.25,,3.29,27.5,30,18,,,
Mustafa Al-Sayyad,2005,BIG,,,,,,,,3.42,26.5,30.5,,,,
Mustafa Shakur,2007,PG,75,76.5,99,185,77.5,2.5,,3.27,28.5,35,11,4.10%,,
Myck Kabongo,2013,PG,73.25,74.75,98,180.4,78.25,5,2.86,3.44,27.5,33.5,2,6.00%,8.25,9
Myles Turner,2015,BIG,81.75,83.5,112,238.6,88,6.25,,,,,,9.30%,9.25,9.25
Nassir Little,2019,WING,76.5,78,104.5,224.2,85.25,8.75,3.1,3.24,31,38.5,5,5.90%,8.75,10
Nate James,2001,WING,76.75,,103,196,82.75,6,,3.31,26,31,23,6.00%,,
Nate Johnson,2000,WING,78.5,,104,211.5,80.5,2,,3.33,27,33.5,13,,,
Nate Robinson,2004,PG,67.75,69,91.5,181,73,5.25,,2.96,35.5,43.5,13,6.70%,,
Nate Williams,2004,COMBO F,80.5,82,109.5,240,85.5,5,,3.35,23.5,26,1,12.40%,,
Nate Wolters,2013,PG,75.5,76.75,98,196.4,75.75,0.25,,,,,8,5.50%,8.25,8.75
Naz Reid,2019,COMBO F,80.75,81.5,109,255.8,87.25,6.5,3.76,3.42,26,32.5,3,14.00%,9.5,9.25
Ndongo N'diaye,2000,BIG,83.5,,112.5,208,87.5,4,,3.69,24.5,27.5,4,,,
Neemias Queta,2019,BIG,82.75,84.25,111.5,225.8,88.25,5.5,3.45,3.73,24,32.5,1,6.30%,9.5,11
Nemanja Aleksandrov,2005,COMBO F,82,84,110,220.6,83,1,,,,,5,,,
Nene,2002,BIG,81.25,,109,253,88.5,7.25,,3.19,30,34,16,,,
Nerlens Noel,2013,BIG,82,83.75,110,206.4,87.75,5.75,,,,,,4.20%,9.5,10
Nick Collison,2003,BIG,80.75,,108,255,85.5,4.75,,3.28,28,33,8,17.00%,,
Nick George,2006,WING,76,77.75,103,201,82,6,,3.25,30.5,38,14,6.00%,,
Nick Johnson,2014,WING,73.5,75,96.5,198,79.25,5.75,2.95,3.27,33.5,41.5,,6.10%,8.75,9.75
Nick Sheppard,2000,BIG,81.5,,107.5,273,83,1.5,,3.52,23.5,25.5,18,,,
Nick Young,2007,WING,77,78.75,100.5,206,84,7,,3.25,39.5,40.5,6,6.80%,,
Nickeil Alexander-Walker,2019,COMBO G,76.25,77.5,102,203.8,81.5,5.25,,,,,,5.90%,8.5,8.75
Nicolas Claxton,2019,BIG,82.75,83.75,110,216.6,86.5,3.75,3.47,3.36,31.5,36.5,8,4.50%,9.25,9.5
Nigel Hayes,2017,BIG,78.25,79.5,104.5,254.2,87.25,9,2.94,3.27,29,33.5,,11.50%,8.75,10
Nigel Williams-Goss,2017,PG,73.5,75,99,190.2,79.25,5.75,3.08,3.19,27.5,34.5,,5.60%,8.75,9.25
Nik Caner-Medley,2006,WING,78.5,80,103,234,81,2.5,,3.21,28.5,35.5,17,9.60%,,
Nik Stauskas,2014,WING,77.25,78.5,102,206.9,79.75,2.5,2.92,3.27,29,35.5,,12.10%,8.5,8.5
Nikola Vucevic,2011,BIG,82.25,83.75,112.5,259.8,88.5,6.25,,3.27,23.5,25,8,6.10%,9.25,10.25
Noah Vonleh,2014,BIG,80,81.5,108,247.1,88.25,8.25,3.29,3.28,31,37,,7.30%,9.75,11.75
Nolan Smith,2011,PG,73.5,75.5,99,187.6,77.5,4,,3.17,28.5,34,9,5.60%,8.5,9.25
Norman Powell,2015,WING,75,76.25,102.5,215.4,82.75,7.75,3.2,3.2,32.5,40.5,5,6.40%,9.25,9
Norman Richardson,2001,WING,75.5,,99,180,76.5,1,,3.15,30.5,35.5,2,6.00%,,
Norris Cole,2011,PG,72.25,73.75,95.5,174.4,74.25,2,,3.22,29.5,38.5,11,4.70%,8.5,9.5
Norvel Pelle,2013,BIG,81.5,82.5,109,207.2,86.5,5,3.2,3.32,31,34.5,0,5.20%,8.75,9.5
O.J. Mayo,2008,COMBO G,75.25,76.25,99.5,200,78,2.75,,3.14,30.5,41,7,6.30%,,
OG Anunoby,2017,WING,78.25,79.75,107.5,232.4,86.25,8,,,,,,6.80%,9.25,9.5
Olivier Hanlan,2015,COMBO G,75.25,76.25,100,185.8,78,2.75,3.12,3.25,28,34,19,4.30%,8,8.75
Omar Cook,2001,PG,71.5,,92,189,77.5,6,,3.2,31,35.5,9,5.50%,,
Omar Quintero,2004,PG,69.75,71.25,92.5,170,71.5,1.75,,3.25,25,29,2,14.10%,,
Omar Thomas,2005,WING,75.25,76.5,102,200,80,4.75,,3.27,25,29.5,6,,,
Omari Spellman,2018,BIG,80,81.25,106.5,253.8,86,6,3.34,3.38,28.5,35.5,,13.80%,9,9
Omer Yurtseven,2017,BIG,82.5,83.75,108.5,248.4,85,2.5,3.3,3.45,26,31.5,,7.60%,9,10.5
